Område;KomKode;Byområde;Navn;Folketal;Areal;Befolkningstæthed
000-01100 Hovedstadsområdet;000;01100;Hovedstadsområdet;0.0;0.0;0.0
101-00101 Københavns Kommune;101;00101;Københavns Kommune;0.0;0.0;0.0
101-01100 København (del af Hovedstadsområdet);101;01100;København (del af Hovedstadsområdet);602481.0;76.7;7855.2
101-99999 Landdistrikter;101;99999;Landdistrikter;0.0;9.7;0.0
147-00147 Frederiksberg Kommune;147;00147;Frederiksberg Kommune;0.0;0.0;0.0
147-01100 Frederiksberg (del af Hovedstadsområdet);147;01100;Frederiksberg (del af Hovedstadsområdet);105037.0;8.7;12063.5
147-99999 Landdistrikter;147;99999;Landdistrikter;0.0;0.0;0.0
151-00151 Ballerup Kommune;151;00151;Ballerup Kommune;0.0;0.0;0.0
151-01100 Ballerup (del af Hovedstadsområdet);151;01100;Ballerup (del af Hovedstadsområdet);39019.0;15.7;2486.1
151-10223 Smørumnedre (del af flere kommuner);151;10223;Smørumnedre (del af flere kommuner);8925.0;3.8;2345.6
151-99997 Uden fast bopæl;151;99997;Uden fast bopæl;57.0;0.0;0.0
151-99999 Landdistrikter;151;99999;Landdistrikter;230.0;14.5;15.9
153-00153 Brøndby Kommune;153;00153;Brøndby Kommune;0.0;0.0;0.0
153-01100 Brøndby (del af Hovedstadsområdet);153;01100;Brøndby (del af Hovedstadsområdet);35367.0;13.1;2696.1
153-99997 Uden fast bopæl;153;99997;Uden fast bopæl;183.0;0.0;0.0
153-99999 Landdistrikter;153;99999;Landdistrikter;44.0;7.9;5.6
155-00155 Dragør Kommune;155;00155;Dragør Kommune;0.0;0.0;0.0
155-10277 Søvang;155;10277;Søvang;1736.0;0.6;2691.5
155-10278 Dragør;155;10278;Dragør;12132.0;4.7;2570.3
155-99997 Uden fast bopæl;155;99997;Uden fast bopæl;49.0;0.0;0.0
155-99999 Landdistrikter;155;99999;Landdistrikter;371.0;12.9;28.8
157-00157 Gentofte Kommune;157;00157;Gentofte Kommune;0.0;0.0;0.0
157-01100 Gentofte (del af Hovedstadsområdet);157;01100;Gentofte (del af Hovedstadsområdet);75805.0;23.9;3168.6
157-99999 Landdistrikter;157;99999;Landdistrikter;0.0;1.7;0.0
159-00159 Gladsaxe Kommune;159;00159;Gladsaxe Kommune;0.0;0.0;0.0
159-01100 Gladsaxe (del af Hovedstadsområdet);159;01100;Gladsaxe (del af Hovedstadsområdet);68767.0;21.6;3182.6
159-99997 Uden fast bopæl;159;99997;Uden fast bopæl;0.0;0.0;0.0
159-99999 Landdistrikter;159;99999;Landdistrikter;8.0;3.3;2.4
